construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,candidate,cost_model
vwap_reclaim__5bps__quick,HYPEUSD,14523,1774410900,40.30011986,14525,1774411500,40.20975,TREND_LOST,-0.003242421618445347,0.0007414404747131674,2,18.558187318697485,-0.0006039447811988257,0.003214638971315417,-0.0017021456484838376,1.2413793103448314,vwap_reclaim__5bps__quick,maker_mid_passive_0.0010
vwap_reclaim__5bps__runner,HYPEUSD,419,1769940900,31.485719264999997,419,1769940900,31.31865,TREND_LOST,-0.006306191787897686,0.0,0,7.176047218001288,0.0059854345783273265,0.0012759170653908357,0.0020514017004777878,1.0215384615384628,vwap_reclaim__5bps__runner,maker_mid_passive_0.0010
vwap_reclaim__5bps__runner,HYPEUSD,9974,1773026400,30.85540458,9974,1773026400,30.516303683665797,STOP_LOSS,-0.011990000000000056,0.0,0,32.033152846793435,0.001833128703149628,0.00162179695102164,-0.007258851019048038,1.120689655172406,vwap_reclaim__5bps__runner,maker_mid_passive_0.0010
vwap_reclaim__5bps__runner,HYPEUSD,10511,1773191700,34.41563228840055,10511,1773191700,34.345620000000004,TREND_LOST,-0.003034316493558801,0.0018703044901237943,0,10.399538922197573,0.0039077099960914685,0.0005798782255727204,0.0037447433921729643,1.0684931506849091,vwap_reclaim__5bps__runner,maker_mid_passive_0.0010
vwap_reclaim__5bps__runner,HYPEUSD,14523,1774410900,40.30011986,14525,1774411500,40.20975,TREND_LOST,-0.003242421618445347,0.0007414404747131674,2,18.558187318697485,-0.0006039447811988257,0.003214638971315417,-0.0017021456484838376,1.2413793103448314,vwap_reclaim__5bps__runner,maker_mid_passive_0.0010
vwap_reclaim__10bps__quick,HYPEUSD,419,1769940900,31.469968529999996,419,1769940900,31.31865,TREND_LOST,-0.005808347039042748,1.0000010001043705e-06,0,7.176047218001288,0.0059854345783273265,0.0012759170653908357,0.0020514017004777878,1.0215384615384628,vwap_reclaim__10bps__quick,maker_mid_passive_0.0010
vwap_reclaim__10bps__quick,HYPEUSD,9974,1773026400,30.839969159999995,9974,1773026400,30.531847028122435,STOP_LOSS,-0.010991000000000015,1.0000010001442342e-06,0,32.033152846793435,0.001833128703149628,0.00162179695102164,-0.007258851019048038,1.120689655172406,vwap_reclaim__10bps__quick,maker_mid_passive_0.0010
vwap_reclaim__10bps__quick,HYPEUSD,10511,1773191700,34.41563228840055,10511,1773191700,34.345620000000004,TREND_LOST,-0.003034316493558801,0.0018703044901237943,0,10.399538922197573,0.0039077099960914685,0.0005798782255727204,0.0037447433921729643,1.0684931506849091,vwap_reclaim__10bps__quick,maker_mid_passive_0.0010
vwap_reclaim__10bps__runner,HYPEUSD,419,1769940900,31.469968529999996,419,1769940900,31.31865,TREND_LOST,-0.005808347039042748,1.0000010001043705e-06,0,7.176047218001288,0.0059854345783273265,0.0012759170653908357,0.0020514017004777878,1.0215384615384628,vwap_reclaim__10bps__runner,maker_mid_passive_0.0010
vwap_reclaim__10bps__runner,HYPEUSD,9974,1773026400,30.839969159999995,9974,1773026400,30.501037898931592,STOP_LOSS,-0.011990000000000098,1.0000010001442342e-06,0,32.033152846793435,0.001833128703149628,0.00162179695102164,-0.007258851019048038,1.120689655172406,vwap_reclaim__10bps__runner,maker_mid_passive_0.0010
vwap_reclaim__10bps__runner,HYPEUSD,10511,1773191700,34.41563228840055,10511,1773191700,34.345620000000004,TREND_LOST,-0.003034316493558801,0.0018703044901237943,0,10.399538922197573,0.0039077099960914685,0.0005798782255727204,0.0037447433921729643,1.0684931506849091,vwap_reclaim__10bps__runner,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,419,1769940900,31.381349999999998,419,1769940900,31.31865,TREND_LOST,-0.00299800199800187,0.0028249262699023858,0,7.176047218001288,0.0059854345783273265,0.0012759170653908357,0.0020514017004777878,1.0215384615384628,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,872,1770080100,33.8338,876,1770081300,33.916050000000006,TREND_LOST,0.0014310009517112783,0.01584805726817564,4,6.5684804395938325,0.0038077358162078934,0.00999118424919199,0.008505049664731508,1.0176991150442538,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,885,1770084000,35.42539,891,1770085800,35.964,TIME_LIMIT,0.014204066913589334,0.018196271092569487,6,2.3578903591856593,0.013859113749474836,0.007609921082299776,0.02252901380698662,1.2348993288590562,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,893,1770086400,35.89586,894,1770086700,35.75421,TREND_LOST,-0.004946137521151423,0.01042292899515443,1,13.765799937899452,0.017110038955894608,0.0102578319933462,0.02724207467110977,1.1624834874504562,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,958,1770105900,37.487449999999995,958,1770105900,37.112912887049994,STOP_LOSS,-0.010991000000000039,0.0,0,5.094220719208907,0.00179711686857302,0.007200000000000083,0.022928980182864774,0.8227424749163921,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,2574,1770597600,32.7327,2574,1770597600,32.67729,TREND_LOST,-0.002692802610233863,0.002361552820268448,0,0.6643008155354801,0.0024634415918872612,0.0024464831804282996,0.004356943743759107,0.9063180827886805,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,5489,1771550100,29.46944,5495,1771552800,29.4705,TIME_LIMIT,-0.0009640305346826236,0.0027336793641142133,6,0.7019752598147975,0.003935448280121909,0.0016983695652174153,0.006955361285993581,1.0395480225988682,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,5587,1771582500,29.429399999999994,5593,1771584300,29.45052,TIME_LIMIT,-0.00028235030275823103,0.01021427552039819,6,0.3773218237838101,0.002751071730172001,0.000680272108843523,0.0031317580011363576,0.6043165467625804,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,5653,1771603500,29.969939999999998,5658,1771605000,29.85012,TREND_LOST,-0.004998006002013923,0.012681373402816418,5,7.729728578966768,0.00817123486156696,0.005344021376085509,0.022637949013700177,1.2799999999999931,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,5687,1771613700,30.00998,5693,1771615500,29.90007,TREND_LOST,-0.004662448292201438,0.005665448627423309,6,13.620034686762544,0.0017521439141003428,0.0016666666666666904,0.0148149020060512,0.951140065146578,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,6741,1771981500,27.447419999999997,6747,1771983300,27.7722,TREND_LOST,0.010832806143528394,0.019039312255942506,6,31.532136444485946,0.0024414275822990696,0.0007291286912139837,0.0017209535073160215,0.8590604026845559,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,8026,1772391600,31.731699999999996,8028,1772392200,31.55841,TREND_LOST,-0.006461100413781738,0.0037281330656726546,2,4.215767756704689,0.005725997219281571,0.008170961659333802,0.01806597017227663,0.9780219780219805,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,8854,1772652000,32.7327,8856,1772652600,32.42754,TREND_LOST,-0.010322787304438703,0.003889077283572641,2,32.15745751357474,0.002254042409391556,0.00030581039755367325,0.007920005128462453,0.9156626506024067,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,9974,1773026400,30.860829999999996,9974,1773026400,30.552499447469994,STOP_LOSS,-0.010991000000000063,0.0,0,32.033152846793435,0.001833128703149628,0.00162179695102164,-0.007258851019048038,1.120689655172406,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,10002,1773035400,31.020989999999994,10002,1773035400,30.90906,TREND_LOST,-0.0046082020593151245,0.0009351732488230275,0,1.3838221848903824,0.0032225077778057975,0.001613423685059605,0.011620545092289996,1.177664974619303,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,10031,1773045000,30.920889999999996,10037,1773046800,31.068900000000003,TIME_LIMIT,0.0037867315591500255,0.005792524083233212,6,6.050814700752645,0.0012140215125062107,0.0009711880867595058,0.008553540235989362,0.8075117370892018,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,10042,1773048300,31.201169999999998,10048,1773050100,31.17879,TIME_LIMIT,-0.001717280794277852,0.0063725174408524096,6,8.382313267107168,0.00445523068769717,-0.0009624639076033873,0.017808417794793596,0.9633507853403273,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,10510,1773191400,34.52449,10511,1773191700,34.345620000000004,TREND_LOST,-0.006180959950458249,0.0,1,10.399538922197573,0.0039077099960914685,0.0005798782255727204,0.0037447433921729643,1.0684931506849091,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,10527,1773196500,34.77474,10529,1773197100,34.48548,TREND_LOST,-0.009318106763702583,0.0007263893274254773,2,0.4794844716272224,0.0037540814899062313,0.005453501722158576,0.0047201055365909544,1.1685393258427303,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,11028,1773350400,37.37734,11034,1773352200,37.39257,TIME_LIMIT,-0.0005925338721267346,0.002746583892807787,6,7.406624147935349,0.0010288330330203814,0.0013386880856761515,0.009387696461364017,0.9620253164557159,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,11079,1773365700,38.208169999999996,11081,1773366300,38.1618,TREND_LOST,-0.0022136147844818536,0.004758929830976073,2,15.57706269458748,0.005497100682156441,0.007571801566579613,0.009520813943944797,1.1923076923076994,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,11977,1773639300,38.45842,11982,1773640800,38.22174,TREND_LOST,-0.007154178980831761,0.003421357403658463,5,5.0193634466116785,0.004679985065746614,0.0026014568158167096,0.016470058486083912,0.9393939393939428,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,11996,1773645000,38.7387,12002,1773646800,38.941019999999995,TIME_LIMIT,0.004222684292451558,0.015780085547527405,6,8.401543550440657,0.004118580492150925,0.0012913223140495133,0.02159367218352689,1.0614886731391484,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,12074,1773668400,39.699659999999994,12076,1773669000,39.303020696939996,STOP_LOSS,-0.010990999999999973,8.5643050849414e-06,2,19.36753251406817,0.002800121892002972,0.0022692889561269874,0.024809182874496388,0.9729729729729736,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,12093,1773674100,38.87884,12099,1773675900,39.25071,TIME_LIMIT,0.008564842983998528,0.010575418402400958,6,37.297070125506046,-0.0036989309647538567,0.010198878123406389,0.004932297651352637,0.775280898876411,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,12277,1773729300,41.45140999999999,12280,1773730200,41.068889999999996,TREND_LOST,-0.010228154120691973,0.001895954805880249,3,40.64844407180008,0.0064218678682403845,0.0026563631972953256,0.019221534347526714,1.1782178217821833,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,12335,1773746700,41.41136999999999,12341,1773748500,41.37858,TIME_LIMIT,-0.001791811524226111,0.008418702399848332,6,19.741198083117006,0.0037572280473484056,0.002175489485134066,0.01615742919009423,1.2638436482084583,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,14272,1774335600,38.15812,14278,1774337400,38.38158,TIME_LIMIT,0.004856158531919364,0.010269897992878068,6,0.2314182750366054,0.0008920073487331792,0.00026232948583415557,0.011957134742073485,0.7450980392156863,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,14306,1774345800,38.508469999999996,14309,1774346700,38.42154,TREND_LOST,-0.0032574254443242046,0.00211719655442057,3,0.37503177314473535,0.0006810627471871257,0.00025994281258118044,0.017258803374300587,0.9245283018867974,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,14407,1774376100,39.289249999999996,14413,1774377900,39.62034,TIME_LIMIT,0.0074269870257132236,0.016817577327131655,6,0.427333200730821,0.0007212084551846561,0.0035614347494276406,0.02511361322617082,0.8577494692144403,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,14522,1774410600,40.32028,14525,1774411500,40.20975,TREND_LOST,-0.003741300407635987,0.0004890839051714577,3,18.558187318697485,-0.0006039447811988257,0.003214638971315417,-0.0017021456484838376,1.2413793103448314,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__quick,HYPEUSD,15465,1774699500,39.529489999999996,15471,1774701300,39.78018,TIME_LIMIT,0.0053418475674744574,0.012155734870346227,6,30.477971751749045,0.0009723620021841722,0.0,0.027460819004992268,0.8888888888888968,breakout_retest__flat__quick,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,419,1769940900,31.381349999999998,419,1769940900,31.31865,TREND_LOST,-0.00299800199800187,0.0028249262699023858,0,7.176047218001288,0.0059854345783273265,0.0012759170653908357,0.0020514017004777878,1.0215384615384628,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,872,1770080100,33.8338,876,1770081300,33.916050000000006,TREND_LOST,0.0014310009517112783,0.01584805726817564,4,6.5684804395938325,0.0038077358162078934,0.00999118424919199,0.008505049664731508,1.0176991150442538,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,885,1770084000,35.42539,893,1770086400,36.05391,TIME_LIMIT,0.0167420770808734,0.024124222767907454,8,2.3578903591856593,0.013859113749474836,0.007609921082299776,0.02252901380698662,1.2348993288590562,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,958,1770105900,37.487449999999995,958,1770105900,37.0754629245,STOP_LOSS,-0.011989999999999834,0.0,0,5.094220719208907,0.00179711686857302,0.007200000000000083,0.022928980182864774,0.8227424749163921,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,2574,1770597600,32.7327,2574,1770597600,32.67729,TREND_LOST,-0.002692802610233863,0.002361552820268448,0,0.6643008155354801,0.0024634415918872612,0.0024464831804282996,0.004356943743759107,0.9063180827886805,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,5489,1771550100,29.46944,5497,1771554000,29.300669999999997,TREND_LOST,-0.006726949680754099,0.0027336793641142133,8,0.7019752598147975,0.003935448280121909,0.0016983695652174153,0.006955361285993581,1.0395480225988682,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,5587,1771582500,29.429399999999994,5595,1771585200,29.580389999999998,TIME_LIMIT,0.0041305837020124015,0.01021427552039819,8,0.3773218237838101,0.002751071730172001,0.000680272108843523,0.0031317580011363576,0.6043165467625804,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,5653,1771603500,29.969939999999998,5658,1771605000,29.85012,TREND_LOST,-0.004998006002013923,0.012681373402816418,5,7.729728578966768,0.00817123486156696,0.005344021376085509,0.022637949013700177,1.2799999999999931,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,5687,1771613700,30.00998,5693,1771615500,29.90007,TREND_LOST,-0.004662448292201438,0.005665448627423309,6,13.620034686762544,0.0017521439141003428,0.0016666666666666904,0.0148149020060512,0.951140065146578,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,6741,1771981500,27.447419999999997,6747,1771983300,27.7722,TREND_LOST,0.010832806143528394,0.019039312255942506,6,31.532136444485946,0.0024414275822990696,0.0007291286912139837,0.0017209535073160215,0.8590604026845559,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,8026,1772391600,31.731699999999996,8028,1772392200,31.55841,TREND_LOST,-0.006461100413781738,0.0037281330656726546,2,4.215767756704689,0.005725997219281571,0.008170961659333802,0.01806597017227663,0.9780219780219805,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,8854,1772652000,32.7327,8856,1772652600,32.42754,TREND_LOST,-0.010322787304438703,0.003889077283572641,2,32.15745751357474,0.002254042409391556,0.00030581039755367325,0.007920005128462453,0.9156626506024067,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,9974,1773026400,30.860829999999996,9974,1773026400,30.521669478299998,STOP_LOSS,-0.011989999999999952,0.0,0,32.033152846793435,0.001833128703149628,0.00162179695102164,-0.007258851019048038,1.120689655172406,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,10002,1773035400,31.020989999999994,10002,1773035400,30.90906,TREND_LOST,-0.0046082020593151245,0.0009351732488230275,0,1.3838221848903824,0.0032225077778057975,0.001613423685059605,0.011620545092289996,1.177664974619303,breakout_retest__flat__runner,maker_mid_passive_0.0010
breakout_retest__flat__runner,HYPEUSD,10031,1773045000,30.920889999999996,10039,1773047400,31.11885,TIME_LIMIT,0.005402144310852694,0.008056365777311239,8,6.050814700752645,0.0012140215125062107,0.0009711880867595058,0.008553540235989362,0.8075117370892018,breakout_retest__flat__runner,maker_mid_passive_0.0010
